Repository Name,Abbreviation, Repository URL,fairsharing  or re3data entry URL,Type of repository
AEKOS - TERN Ecoinformatics,AEKOS,http://www.aekos.org.au/,https://fairsharing.org/biodbcore-000783 ,Earth and environmental sciences
Archaeology Data Service,ADS,http://archaeologydataservice.ac.uk/,https://www.re3data.org/repository/r3d100000006,Social sciences
ArrayExpress                    ,,http://www.ebi.ac.uk/arrayexpress/,https://fairsharing.org/biodbcore-000305,Biological sciences: omics
Australian Antarctic Data Centre,AADC,https://www1.data.antarctica.gov.au,https://www.re3data.org/repository/r3d100000038,Earth and environmental sciences
Australian Ocean Data Network,AODN,http://portal.aodn.org.au,https://www.re3data.org/repository/r3d100010914,Earth and environmental sciences
"Beilstein-Institut, STRENDA",,http://www.strenda-db.org,https://fairsharing.org/biodbcore-000757,Chemistry & chemical biology
Biological General Repository for Interaction Datasets,BioGRID,http://thebiogrid.org/,https://fairsharing.org/biodbcore-000495,Biological sciences: omics
Biological Magnetic Resonance Data Bank,BMRB,http://www.bmrb.wisc.edu/,https://fairsharing.org/biodbcore-000584,Biological sciences: molecular & supramolecular structure
BioModels Database,,http://biomodels.net/,https://fairsharing.org/biodbcore-000306,Biological sciences:  mathematical & modelling resources
British Geological Survey,BGS,http://www.bgs.ac.uk/data/home.html,https://www.re3data.org/repository/r3d100010916,Earth and environmental sciences
caNanoLab                                                                                       ,,http://cananolab.nci.nih.gov/caNanoLab/,https://fairsharing.org/biodbcore-000427,Chemistry & chemical biology
ChEMBL,,https://www.ebi.ac.uk/chembl/,https://fairsharing.org/biodbcore-000015,Chemistry & chemical biology
ClinicalTrials.gov   ,,http://clinicaltrials.gov/,https://fairsharing.org/biodbcore-000470,Health sciences
Coherent X-ray Imaging Data Bank ,CXIDB,http://www.cxidb.org/,https://fairsharing.org/biodbcore-000624,Biological sciences: molecular & supramolecular structure
Crystallography Open Database,COD,http://www.crystallography.net/,https://fairsharing.org/biodbcore-000016,Biological sciences: molecular & supramolecular structure
Database of Genomic Variants Archive,DGVa,http://www.ebi.ac.uk/dgva/,https://fairsharing.org/biodbcore-000628,Biological sciences: nucleic acid sequence
Database of Interacting Proteins,DIP,http://dip.doe-mbi.ucla.edu/dip/Main.cgi,https://fairsharing.org/biodbcore-000558,Biological sciences: omics
dbGAP                    ,,http://www.ncbi.nlm.nih.gov/gap,https://fairsharing.org/biodbcore-000462,Biological sciences: omics
dbSNP,,http://www.ncbi.nlm.nih.gov/snp,https://fairsharing.org/biodbcore-000438,Biological sciences: nucleic acid sequence
dbVar,,http://www.ncbi.nlm.nih.gov/dbvar/,https://fairsharing.org/biodbcore-000463,Biological sciences: nucleic acid sequence
DNA DataBank of Japan,DDBJ,http://www.ddbj.nig.ac.jp/,https://fairsharing.org/biodbcore-000027,Biological sciences: nucleic acid sequence
Dryad Digital Repository  ,,http://datadryad.org/,https://fairsharing.org/biodbcore-000464,General science
EarthChem,,http://www.earthchem.org/,https://www.re3data.org/repository/r3d100010412,Earth and environmental sciences
EBI Metagenomics,,http://www.ebi.ac.uk/metagenomics,https://fairsharing.org/biodbcore-000599,Biological sciences: nucleic acid sequence
EMDataBank,EMDB,http://www.emdatabank.org/,https://fairsharing.org/biodbcore-000596,Biological sciences: molecular & supramolecular structure
Environmental Data Initiative,EDI,https://portal.edirepository.org/nis,https://fairsharing.org/biodbcore-000634,Earth and environmental sciences
Eukaryotic Pathogen Database Resources                    ,EuPathDB,http://eupathdb.org/eupathdb/,https://fairsharing.org/biodbcore-000344,Biological sciences: organism-focused resources
European Nucleotide Archive,ENA,http://www.ebi.ac.uk/ena/,https://fairsharing.org/biodbcore-000310,Biological sciences: nucleic acid sequence
European Variation Archive,EVA,http://www.ebi.ac.uk/EVA,https://fairsharing.org/biodbcore-000627,Biological sciences: nucleic acid sequence
figshare,,http://figshare.com/,https://fairsharing.org/biodbcore-000303,General science
FlowRepository,,https://flowrepository.org/,https://fairsharing.org/biodbcore-000184,Biological sciences: cytometry & immunology
FlyBase                    ,,http://flybase.org/,https://fairsharing.org/biodbcore-000037,Biological sciences: organism-focused resources
Functional Connectomes Project International Neuroimaging Data-Sharing Initiative                    ,FCP/INDI,http://fcon_1000.projects.nitrc.org/,https://fairsharing.org/biodbcore-000625,Biological sciences: neuroscience
G-Node,GIN,https://web.gin.g-node.org/,https://fairsharing.org/biodbcore-001008,Biological sciences: neuroscience
GenBank,,http://www.ncbi.nlm.nih.gov/genbank/,https://fairsharing.org/biodbcore-000001,Biological sciences: nucleic acid sequence
